Input String,Response String,text
"Hermione, I was joking, I know I haven’t got a chance of turning into a frog by tomorrow morning. . . .","Oh this is no use, Who on earth wants to make their nose hair grow into ringlets?","###Prompt:
Answer as if you are Hermione responding to the previous line."
"Oh this is no use, Who on earth wants to make their nose hair grow into ringlets?","I wouldn’t mind, Be a talking point, wouldn’t it?","###Prompt:
Answer as if you are Fred responding to the previous line."
"I wouldn’t mind, Be a talking point, wouldn’t it?",What? “What’re you two doing here?”,"###Prompt:
Answer as if you are Ron responding to the previous line."
What? “What’re you two doing here?”,What? “What’re you two doing here?”,"###Prompt:
Answer as if you are Hermione responding to the previous line."
What? “What’re you two doing here?”,"We’re supposed to take you down to her office,","###Prompt:
Answer as if you are Fred responding to the previous line."
"We’re supposed to take you down to her office,","Harry, Bring as many of these books as you can, okay?","###Prompt:
Answer as if you are Hermione responding to the previous line."
"Harry, Bring as many of these books as you can, okay?","Right,Harry: Lumos,","###Prompt:
Answer as if you are Harry responding to the previous line."
"Right,Harry: Lumos,","Come and get it! Come on, jump!","###Prompt:
Answer as if you are merpeople responding to the previous line."
"Come and get it! Come on, jump!","I can’t, Give it to me! That hurts — get off — ouch — Stop poking me — Stop poking me — Stop poking me — Ten minutes? Ten — ten minutes?
 Dobby : You is supposed to be down by the lake with the other champions, sir!","###Prompt:
Answer as if you are Harry responding to the previous line."
"I can’t, Give it to me! That hurts — get off — ouch — Stop poking me — Stop poking me — Stop poking me — Ten minutes? Ten — ten minutes?
 Dobby : You is supposed to be down by the lake with the other champions, sir!","It’s too late, Dobby, I’m not doing the task, I don’t know how —
 Dobby : Dobby knew Harry had not found the right book, so Dobby did it for him!","###Prompt:
Answer as if you are Harry responding to the previous line."
"It’s too late, Dobby, I’m not doing the task, I don’t know how —
 Dobby : Dobby knew Harry had not found the right book, so Dobby did it for him!","What?
 Dobby : Dobby knows, sir!","###Prompt:
Answer as if you are Harry responding to the previous line."
"What?
 Dobby : Dobby knows, sir!","What?
 Dobby : — and take his Wheezy back from the merpeople!","###Prompt:
Answer as if you are Harry responding to the previous line."
"What?
 Dobby : — and take his Wheezy back from the merpeople!","What? What?
 Dobby : Your Wheezy, sir, your Wheezy — Wheezy who is giving Dobby his sweater!","###Prompt:
Answer as if you are Harry responding to the previous line."
"What? What?
 Dobby : Your Wheezy, sir, your Wheezy — Wheezy who is giving Dobby his sweater!","What? They’ve got . . . they’ve got Ron? — ‘the prospect’s black,’ ‘Too late, it’s gone, it won’t come back. ’ Dobby — what’ve I got to do?
 Dobby : You has to eat this, sir! Right before you go into the lake, sir — gillyweed!","###Prompt:
Answer as if you are Harry responding to the previous line."
"What? They’ve got . . . they’ve got Ron? — ‘the prospect’s black,’ ‘Too late, it’s gone, it won’t come back. ’ Dobby — what’ve I got to do?
 Dobby : You has to eat this, sir! Right before you go into the lake, sir — gillyweed!","What’s it do? Dobby, listen — are you sure about this?
 Dobby : Dobby is quite sure, sir! Dobby hears things, sir, he is a house-elf, he goes all over the castle as he lights the fires and mops the floors. Dobby is supposed to be in the kitchens, sir!","###Prompt:
Answer as if you are Harry responding to the previous line."
"What’s it do? Dobby, listen — are you sure about this?
 Dobby : Dobby is quite sure, sir! Dobby hears things, sir, he is a house-elf, he goes all over the castle as he lights the fires and mops the floors. Dobby is supposed to be in the kitchens, sir!","See you later, Dobby!Harry: I’m . . . here . . .","###Prompt:
Answer as if you are Harry responding to the previous line."
"See you later, Dobby!Harry: I’m . . . here . . .",Where have you been? The task’s about to start!,"###Prompt:
Answer as if you are Percy responding to the previous line."
Where have you been? The task’s about to start!,"Now, now, Percy! Let him catch his breath! All right, Harry? Know what you’re going to do?","###Prompt:
Answer as if you are Bagman responding to the previous line."
"Now, now, Percy! Let him catch his breath! All right, Harry? Know what you’re going to do?","Dunno,","###Prompt:
Answer as if you are Harry responding to the previous line."
"Dunno,","Sonorus! They have precisely an hour to recover what has been taken from them. On the count of three, then. One . . . two . . . three! two . . .Harry: Relashio!
Murtle : How are you getting on?","###Prompt:
Answer as if you are Bagman responding to the previous line."
"Sonorus! They have precisely an hour to recover what has been taken from them. On the count of three, then. One . . . two . . . three! two . . .Harry: Relashio!
Murtle : How are you getting on?","Myrtle!
Murtle : You want to try over there! I won’t come with you. . . . I don’t like them much, they always chase me when I get too close. . . .","###Prompt:
Answer as if you are Harry responding to the previous line."
"Myrtle!
Murtle : You want to try over there! I won’t come with you. . . . I don’t like them much, they always chase me when I get too close. . . .","We do not help,","###Prompt:
Answer as if you are merman responding to the previous line."
"We do not help,",Come ON!,"###Prompt:
Answer as if you are Harry responding to the previous line."
Come ON!,"You take your own hostage, Leave the others . . .","###Prompt:
Answer as if you are merman responding to the previous line."
"You take your own hostage, Leave the others . . .",No way!,"###Prompt:
Answer as if you are Harry responding to the previous line."
No way!,Leave the others . . . Your task is to retrieve your own friend . . . leave the others . . .,"###Prompt:
Answer as if you are merman responding to the previous line."
Leave the others . . . Your task is to retrieve your own friend . . . leave the others . . .,She’s my friend too! And I don’t want them to die either!,"###Prompt:
Answer as if you are Harry responding to the previous line."
She’s my friend too! And I don’t want them to die either!,Got lost! Fleur and Krum’re coming now!,"###Prompt:
Answer as if you are Cedric responding to the previous line."
Got lost! Fleur and Krum’re coming now!,Get out of the way! You’ve got until three! One . . . two . . .Ron: What? What did you bring her for?,"###Prompt:
Answer as if you are Harry responding to the previous line."
Get out of the way! You’ve got until three! One . . . two . . .Ron: What? What did you bring her for?,"Fleur didn’t turn up, I couldn’t leave her,","###Prompt:
Answer as if you are Harry responding to the previous line."
"Fleur didn’t turn up, I couldn’t leave her,","Harry, you didn’t take that song thing seriously, did you? Dumbledore wouldn’t have let any of us drown!","###Prompt:
Answer as if you are Ron responding to the previous line."
"Harry, you didn’t take that song thing seriously, did you? Dumbledore wouldn’t have let any of us drown!",The song said —,"###Prompt:
Answer as if you are Harry responding to the previous line."
The song said —,It was only to make sure you got back inside the time limit! I hope you didn’t waste time down there acting the hero!,"###Prompt:
Answer as if you are Ron responding to the previous line."
It was only to make sure you got back inside the time limit! I hope you didn’t waste time down there acting the hero!,"C’mon, help me with her, I don’t think she can swim very well. Fleur: Gabrielle! Gabrielle! Is she alive? Is she ’urt?","###Prompt:
Answer as if you are Harry responding to the previous line."
"C’mon, help me with her, I don’t think she can swim very well. Fleur: Gabrielle! Gabrielle! Is she alive? Is she ’urt?",She’s fine!,"###Prompt:
Answer as if you are Harry responding to the previous line."
She’s fine!,"Gerroff, Percy, I’m all right!
 Fleur: It was ze grindylows . . . zey attacked me . . . oh Gabrielle, I thought . . . I thought . . .
Madam Pomfrey: Come here, you,","###Prompt:
Answer as if you are Ron responding to the previous line."
"Gerroff, Percy, I’m all right!
 Fleur: It was ze grindylows . . . zey attacked me . . . oh Gabrielle, I thought . . . I thought . . .
Madam Pomfrey: Come here, you,","Harry, You did it, you found out how all by yourself!","###Prompt:
Answer as if you are Hermione responding to the previous line."
"Harry, You did it, you found out how all by yourself!","Yeah, that’s right,","###Prompt:
Answer as if you are Harry responding to the previous line."
"Yeah, that’s right,","You haff a water beetle in your hair, Herm-own-ninny,","###Prompt:
Answer as if you are Krum responding to the previous line."
"You haff a water beetle in your hair, Herm-own-ninny,","Harry,","###Prompt:
Answer as if you are Hermione responding to the previous line."
"Harry,",No . . . I found you okay. . . .,"###Prompt:
Answer as if you are Harry responding to the previous line."
No . . . I found you okay. . . .,"A conference before we give the marks, I think.
 Fleur: Look after Gabrielle, You saved ’er, Even though she was not your ’ostage.","###Prompt:
Answer as if you are Dumbledore responding to the previous line."
"A conference before we give the marks, I think.
 Fleur: Look after Gabrielle, You saved ’er, Even though she was not your ’ostage.","Yeah, Yeah,
 Fleur: And you too — you ’elped —","###Prompt:
Answer as if you are Harry responding to the previous line."
"Yeah, Yeah,
 Fleur: And you too — you ’elped —","Yeah, Yeah, yeah, a bit —Krum: never felt this way about any other girl.","###Prompt:
Answer as if you are Ron responding to the previous line."
"Yeah, Yeah, yeah, a bit —Krum: never felt this way about any other girl.","She’s really ugly, but she’d be well up to making a Love Potion, she’s quite brainy. I think that’s how she’s doing it.","###Prompt:
Answer as if you are Pansy responding to the previous line."
"She’s really ugly, but she’d be well up to making a Love Potion, she’s quite brainy. I think that’s how she’s doing it.","Scarlet woman? If that’s the best Rita can do, she’s losing her touch, What a pile of old rubbish. There’s something funny, though,","###Prompt:
Answer as if you are Hermione responding to the previous line."
"Scarlet woman? If that’s the best Rita can do, she’s losing her touch, What a pile of old rubbish. There’s something funny, though,","Known what? You haven’t been mixing up Love Potions, have you?","###Prompt:
Answer as if you are Ron responding to the previous line."
"Known what? You haven’t been mixing up Love Potions, have you?","Don’t be stupid, No, it’s just . . . how did she know Viktor asked me to visit him over the summer?","###Prompt:
Answer as if you are Hermione responding to the previous line."
"Don’t be stupid, No, it’s just . . . how did she know Viktor asked me to visit him over the summer?",Known what?,"###Prompt:
Answer as if you are Ron responding to the previous line."
Known what?,"He asked me right after he’d pulled me out of the lake, After he’d got rid of his shark’s head. Madam Pomfrey gave us both blankets and then he sort of pulled me away from the judges so they wouldn’t hear, and he said, if I wasn’t doing anything over the summer, would I like to —","###Prompt:
Answer as if you are Hermione responding to the previous line."
"He asked me right after he’d pulled me out of the lake, After he’d got rid of his shark’s head. Madam Pomfrey gave us both blankets and then he sort of pulled me away from the judges so they wouldn’t hear, and he said, if I wasn’t doing anything over the summer, would I like to —",And what did you say?,"###Prompt:
Answer as if you are Ron responding to the previous line."
And what did you say?,"And he did say he’d never felt the same way about anyone else, She wasn’t there ... or was she?  Maybe she has got an Invisibility Cloak;maybe she sneaked onto the grounds to watch the second task. . . .","###Prompt:
Answer as if you are Hermione responding to the previous line."
"And he did say he’d never felt the same way about anyone else, She wasn’t there ... or was she?  Maybe she has got an Invisibility Cloak;maybe she sneaked onto the grounds to watch the second task. . . .",And what did you say?,"###Prompt:
Answer as if you are Ron responding to the previous line."
And what did you say?,"Well, I was too busy seeing whether you and Harry were okay to —","###Prompt:
Answer as if you are Hermione responding to the previous line."
"Well, I was too busy seeing whether you and Harry were okay to —","Fascinating though your social life undoubtedly is, Miss Granger, I must ask you not to discuss it in my class. Ten points from Gryffindor. Ah . . . reading magazines under the table as well? A further ten points from Gryffindor . . . oh but of course . . . Potter has to keep up with his press cuttings. . . . ‘A boy like no other, perhaps . . .’ he bestows his heart upon a worthier candidate.’ Well, I think I had better separate the three of you, so you can keep your minds on your potions rather than on your tangled love lives. Weasley, you stay here. Miss Granger, over there, beside Miss Parkinson. Potter — that table in front of my desk. Move. Now. All this press attention seems to have inflated your already overlarge head, Potter, You might be laboring under the delusion that the entire Wizarding world is impressed with you, but I don’t care how many times your picture appears in the papers. To me, Potter, you are nothing but a nasty little boy who considers rules to be beneath him. So I give you fair warning, Potter,","###Prompt:
Answer as if you are Snape responding to the previous line."
"Fascinating though your social life undoubtedly is, Miss Granger, I must ask you not to discuss it in my class. Ten points from Gryffindor. Ah . . . reading magazines under the table as well? A further ten points from Gryffindor . . . oh but of course . . . Potter has to keep up with his press cuttings. . . . ‘A boy like no other, perhaps . . .’ he bestows his heart upon a worthier candidate.’ Well, I think I had better separate the three of you, so you can keep your minds on your potions rather than on your tangled love lives. Weasley, you stay here. Miss Granger, over there, beside Miss Parkinson. Potter — that table in front of my desk. Move. Now. All this press attention seems to have inflated your already overlarge head, Potter, You might be laboring under the delusion that the entire Wizarding world is impressed with you, but I don’t care how many times your picture appears in the papers. To me, Potter, you are nothing but a nasty little boy who considers rules to be beneath him. So I give you fair warning, Potter,",I haven’t been anywhere near your office!,"###Prompt:
Answer as if you are Harry responding to the previous line."
I haven’t been anywhere near your office!,Boomslang skin.,"###Prompt:
Answer as if you are Snape responding to the previous line."
Boomslang skin.,"I don’t know what you’re talking about,","###Prompt:
Answer as if you are Harry responding to the previous line."
"I don’t know what you’re talking about,","You were out of bed on the night my office was broken into! I know it, Potter! Now, Mad-Eye Moody might have joined your fan club, but I will not tolerate your behavior! One more nighttime stroll into my office, Potter, and you will pay!","###Prompt:
Answer as if you are Snape responding to the previous line."
"You were out of bed on the night my office was broken into! I know it, Potter! Now, Mad-Eye Moody might have joined your fan club, but I will not tolerate your behavior! One more nighttime stroll into my office, Potter, and you will pay!","Right, I’ll bear that in mind if I ever get the urge to go in there.","###Prompt:
Answer as if you are Harry responding to the previous line."
"Right, I’ll bear that in mind if I ever get the urge to go in there.","Do you know what this is, Potter?","###Prompt:
Answer as if you are Snape responding to the previous line."
"Do you know what this is, Potter?","No,","###Prompt:
Answer as if you are Harry responding to the previous line."
"No,","It is Veritaserum — a Truth Potion so powerful that three drops would have you spilling your innermost secrets for this entire class to hear, Now, the use of this potion is controlled by very strict Ministry guidelines. But unless you watch your step, you might just find that my hand slips right over your evening pumpkin juice. And then, Potter . . . then we’ll find out whether you’ve been in my office or not.Snape: Enter,
Karkaroff : We need to talk,","###Prompt:
Answer as if you are Snape responding to the previous line."
"It is Veritaserum — a Truth Potion so powerful that three drops would have you spilling your innermost secrets for this entire class to hear, Now, the use of this potion is controlled by very strict Ministry guidelines. But unless you watch your step, you might just find that my hand slips right over your evening pumpkin juice. And then, Potter . . . then we’ll find out whether you’ve been in my office or not.Snape: Enter,
Karkaroff : We need to talk,","I’ll talk to you after my lesson, Karkaroff,
Karkaroff : I want to talk now, while you can’t slip off, Severus. You’ve been avoiding me.","###Prompt:
Answer as if you are Snape responding to the previous line."
"I’ll talk to you after my lesson, Karkaroff,
Karkaroff : I want to talk now, while you can’t slip off, Severus. You’ve been avoiding me.","After the lesson, What’s so urgent?
Karkaroff : This, Well? Do you see? It’s never been this clear, never since —","###Prompt:
Answer as if you are Snape responding to the previous line."
"After the lesson, What’s so urgent?
Karkaroff : This, Well? Do you see? It’s never been this clear, never since —","Put it away!
Karkaroff : But you must have noticed —","###Prompt:
Answer as if you are Snape responding to the previous line."
"Put it away!
Karkaroff : But you must have noticed —",What? Potter! What are you doing?,"###Prompt:
Answer as if you are Snape responding to the previous line."
What? Potter! What are you doing?,"Clearing up my armadillo bile, Professor,Sirius: Chicken! I’ve been living off rats mostly. Can’t steal too much food from Hogsmeade; I’d draw attention to myself.","###Prompt:
Answer as if you are Harry responding to the previous line."
"Clearing up my armadillo bile, Professor,Sirius: Chicken! I’ve been living off rats mostly. Can’t steal too much food from Hogsmeade; I’d draw attention to myself.","What’re you doing here, Sirius?","###Prompt:
Answer as if you are Harry responding to the previous line."
"What’re you doing here, Sirius?","Fulfilling my duty as godfather, Don’t worry about it, I’m pretending to be a lovable stray. I want to be on the spot. Your last letter . . . well, let’s just say things are getting fishier. I’ve been stealing the paper every time someone throws one out, and by the looks of things, I’m not the only one who’s getting worried.","###Prompt:
Answer as if you are Sirius responding to the previous line."
"Fulfilling my duty as godfather, Don’t worry about it, I’m pretending to be a lovable stray. I want to be on the spot. Your last letter . . . well, let’s just say things are getting fishier. I’ve been stealing the paper every time someone throws one out, and by the looks of things, I’m not the only one who’s getting worried.",What if they catch you? What if you’re seen?,"###Prompt:
Answer as if you are Harry responding to the previous line."
What if they catch you? What if you’re seen?,"You three and Dumbledore are the only ones around here who know I’m an Animagus,","###Prompt:
Answer as if you are Sirius responding to the previous line."
"You three and Dumbledore are the only ones around here who know I’m an Animagus,","They’re making it sound like he’s dying, But he can’t be that ill if he managed to get up here. . . .","###Prompt:
Answer as if you are Harry responding to the previous line."
"They’re making it sound like he’s dying, But he can’t be that ill if he managed to get up here. . . .","My brother’s Crouch’s personal assistant, He says Crouch is suffering from overwork.","###Prompt:
Answer as if you are Ron responding to the previous line."
"My brother’s Crouch’s personal assistant, He says Crouch is suffering from overwork.","Mind you, he did look ill, last time I saw him up close, The night my name came out of the goblet. . . .","###Prompt:
Answer as if you are Harry responding to the previous line."
"Mind you, he did look ill, last time I saw him up close, The night my name came out of the goblet. . . .","Getting his comeuppance for sacking Winky, isn’t he? I bet he wishes he hadn’t done it now — bet he feels the difference now she’s not there to look after him.","###Prompt:
Answer as if you are Hermione responding to the previous line."
"Getting his comeuppance for sacking Winky, isn’t he? I bet he wishes he hadn’t done it now — bet he feels the difference now she’s not there to look after him.","Hermione’s obsessed with house-elves,","###Prompt:
Answer as if you are Ron responding to the previous line."
"Hermione’s obsessed with house-elves,",Crouch sacked his house-elf?,"###Prompt:
Answer as if you are Sirius responding to the previous line."
Crouch sacked his house-elf?,"Yeah, at the Quidditch World Cup,","###Prompt:
Answer as if you are Harry responding to the previous line."
"Yeah, at the Quidditch World Cup,","You first saw the elf in the Top Box. She was saving Crouch a seat, right?
Harry,Ron,Hermione: Right,","###Prompt:
Answer as if you are Sirius responding to the previous line."
"You first saw the elf in the Top Box. She was saving Crouch a seat, right?
Harry,Ron,Hermione: Right,",But Crouch didn’t turn up for the match?,"###Prompt:
Answer as if you are Sirius responding to the previous line."
But Crouch didn’t turn up for the match?,"No, I think he said he’d been too busy.","###Prompt:
Answer as if you are Harry responding to the previous line."
"No, I think he said he’d been too busy.","Harry, did you check your pockets for your wand after you’d left the Top Box?","###Prompt:
Answer as if you are Sirius responding to the previous line."
"Harry, did you check your pockets for your wand after you’d left the Top Box?","No, No, I didn’t need to use it before we got in the forest. And then I put my hand in my pocket, and all that was in there were my Omnioculars. Are you saying whoever conjured the Mark stole my wand in the Top Box?","###Prompt:
Answer as if you are Harry responding to the previous line."
"No, No, I didn’t need to use it before we got in the forest. And then I put my hand in my pocket, and all that was in there were my Omnioculars. Are you saying whoever conjured the Mark stole my wand in the Top Box?","It’s possible,","###Prompt:
Answer as if you are Sirius responding to the previous line."
"It’s possible,",Winky didn’t steal that wand!,"###Prompt:
Answer as if you are Hermione responding to the previous line."
Winky didn’t steal that wand!,"The elf wasn’t the only one in that box, Who else was sitting behind you?","###Prompt:
Answer as if you are Sirius responding to the previous line."
"The elf wasn’t the only one in that box, Who else was sitting behind you?","Loads of people,","###Prompt:
Answer as if you are Harry responding to the previous line."
"Loads of people,",The Malfoys!,"###Prompt:
Answer as if you are Ron responding to the previous line."
The Malfoys!,Anyone else?,"###Prompt:
Answer as if you are Sirius responding to the previous line."
Anyone else?,"No one, Oh yeah . . .","###Prompt:
Answer as if you are Harry responding to the previous line."
"No one, Oh yeah . . .",Well? What’s he like?,"###Prompt:
Answer as if you are Sirius responding to the previous line."
Well? What’s he like?,"He’s okay, He keeps offering to help me with the Triwizard Tournament.","###Prompt:
Answer as if you are Harry responding to the previous line."
"He’s okay, He keeps offering to help me with the Triwizard Tournament.","Does he, now? I wonder why he’d do that?","###Prompt:
Answer as if you are Sirius responding to the previous line."
"Does he, now? I wonder why he’d do that?","Says he’s taken a liking to me,","###Prompt:
Answer as if you are Harry responding to the previous line."
"Says he’s taken a liking to me,","Hmm,","###Prompt:
Answer as if you are Sirius responding to the previous line."
"Hmm,","We saw him in the forest just before the Dark Mark appeared, Remember?","###Prompt:
Answer as if you are Hermione responding to the previous line."
"We saw him in the forest just before the Dark Mark appeared, Remember?","Yeah, but he didn’t stay in the forest, did he? The moment we told him about the riot, he went off to the campsite.","###Prompt:
Answer as if you are Ron responding to the previous line."
"Yeah, but he didn’t stay in the forest, did he? The moment we told him about the riot, he went off to the campsite.",How d’you know? How d’you know where he Disapparated to?,"###Prompt:
Answer as if you are Hermione responding to the previous line."
How d’you know? How d’you know where he Disapparated to?,"Come off it,","###Prompt:
Answer as if you are Ron responding to the previous line."
"Come off it,","It’s more likely he did it than Winky,","###Prompt:
Answer as if you are Hermione responding to the previous line."
"It’s more likely he did it than Winky,","When the Dark Mark had been conjured, and the elf had been discovered holding Harry’s wand, what did Crouch do?","###Prompt:
Answer as if you are Sirius responding to the previous line."
"When the Dark Mark had been conjured, and the elf had been discovered holding Harry’s wand, what did Crouch do?","Went to look in the bushes, but there wasn’t anyone else there.","###Prompt:
Answer as if you are Harry responding to the previous line."
"Went to look in the bushes, but there wasn’t anyone else there.","Of course, of course, he’d want to pin it on anyone but his own elf . . . and then he sacked her?","###Prompt:
Answer as if you are Sirius responding to the previous line."
"Of course, of course, he’d want to pin it on anyone but his own elf . . . and then he sacked her?","Yes, he sacked her, just because she hadn’t stayed in her tent and let herself get trampled —","###Prompt:
Answer as if you are Hermione responding to the previous line."
"Yes, he sacked her, just because she hadn’t stayed in her tent and let herself get trampled —","Hermione, will you give it a rest with the elf!","###Prompt:
Answer as if you are Ron responding to the previous line."
"Hermione, will you give it a rest with the elf!","She’s got the measure of Crouch better than you have, Ron. If you want to know what a man’s like, take a good look at how he treats his inferiors, not his equals. . . . It’s not like Crouch. If he’s ever taken a day off work because of illness before this, I’ll eat Buckbeak.","###Prompt:
Answer as if you are Sirius responding to the previous line."
"She’s got the measure of Crouch better than you have, Ron. If you want to know what a man’s like, take a good look at how he treats his inferiors, not his equals. . . . It’s not like Crouch. If he’s ever taken a day off work because of illness before this, I’ll eat Buckbeak.","D’you know Crouch, then?","###Prompt:
Answer as if you are Harry responding to the previous line."
"D’you know Crouch, then?","Oh I know Crouch all right, He was the one who gave the order for me to be sent to Azkaban — without a trial.
Ron,Hermione: Known what?","###Prompt:
Answer as if you are Sirius responding to the previous line."
"Oh I know Crouch all right, He was the one who gave the order for me to be sent to Azkaban — without a trial.
Ron,Hermione: Known what?",You’re kidding!,"###Prompt:
Answer as if you are Harry responding to the previous line."
You’re kidding!,"No, Crouch used to be Head of the Department of Magical Law Enforcement, didn’t you know? Oh never a Voldemort supporter, But then a lot of people who were against the Dark Side . . . well, you wouldn’t understand . . . you’re too young. . . . Right, Crouch’s principles might’ve been good in the beginning — I wouldn’t know. He rose quickly through the Ministry, and he started ordering very harsh measures against Voldemort’s supporters. The Aurors were given new powers — powers to kill rather than capture, for instance. And I wasn’t the only one who was handed straight to the dementors without trial. Crouch fought violence with violence, and authorized the use of the Unforgivable Curses against suspects. I would say he became as ruthless and cruel as many on the Dark Side. He had his supporters, mind you — plenty of people thought he was going about things the right way, and there were a lot of witches and wizards clamoring for him to take over as Minister of Magic. When Voldemort disappeared, it looked like only a matter of time until Crouch got the top job. But then something rather unfortunate happened. . . . Crouch’s own son was caught with a group of Death Eaters who’d managed to talk their way out of Azkaban. Apparently they were trying to find Voldemort and return him to power.","###Prompt:
Answer as if you are Sirius responding to the previous line."
"No, Crouch used to be Head of the Department of Magical Law Enforcement, didn’t you know? Oh never a Voldemort supporter, But then a lot of people who were against the Dark Side . . . well, you wouldn’t understand . . . you’re too young. . . . Right, Crouch’s principles might’ve been good in the beginning — I wouldn’t know. He rose quickly through the Ministry, and he started ordering very harsh measures against Voldemort’s supporters. The Aurors were given new powers — powers to kill rather than capture, for instance. And I wasn’t the only one who was handed straight to the dementors without trial. Crouch fought violence with violence, and authorized the use of the Unforgivable Curses against suspects. I would say he became as ruthless and cruel as many on the Dark Side. He had his supporters, mind you — plenty of people thought he was going about things the right way, and there were a lot of witches and wizards clamoring for him to take over as Minister of Magic. When Voldemort disappeared, it looked like only a matter of time until Crouch got the top job. But then something rather unfortunate happened. . . . Crouch’s own son was caught with a group of Death Eaters who’d managed to talk their way out of Azkaban. Apparently they were trying to find Voldemort and return him to power.",Crouch’s son was caught?,"###Prompt:
Answer as if you are Hermione responding to the previous line."
Crouch’s son was caught?,"Yep, Nasty little shock for old Barty, I’d imagine. Should have spent a bit more time at home with his family, shouldn’t he? Ought to have left the office early once in a while . . . gotten to know his own son.","###Prompt:
Answer as if you are Sirius responding to the previous line."
"Yep, Nasty little shock for old Barty, I’d imagine. Should have spent a bit more time at home with his family, shouldn’t he? Ought to have left the office early once in a while . . . gotten to know his own son.",Was his son a Death Eater?,"###Prompt:
Answer as if you are Harry responding to the previous line."
Was his son a Death Eater?,"I was in Azkaban myself when he was brought in. This is mostly stuff I’ve found out since I got out. The boy was definitely caught in the company of people I’d bet my life were Death Eaters — but he might have been in the wrong place at the wrong time, just like the house-elf.","###Prompt:
Answer as if you are Sirius responding to the previous line."
"I was in Azkaban myself when he was brought in. This is mostly stuff I’ve found out since I got out. The boy was definitely caught in the company of people I’d bet my life were Death Eaters — but he might have been in the wrong place at the wrong time, just like the house-elf.",Did Crouch try and get his son off?,"###Prompt:
Answer as if you are Hermione responding to the previous line."
Did Crouch try and get his son off?,"Crouch let his son off? I thought you had the measure of him, Hermione! Anything that threatened to tarnish his reputation had to go; he had dedicated his whole life to becoming Minister of Magic. You saw him dismiss a devoted house-elf because she associated him with the Dark Mark again — doesn’t that tell you what he’s like? Crouch’s fatherly affection stretched just far enough to give his son a trial, and by all accounts, it wasn’t much more than an excuse for Crouch to show how much he hated the boy . . . then he sent him straight to Azkaban.","###Prompt:
Answer as if you are Sirius responding to the previous line."
"Crouch let his son off? I thought you had the measure of him, Hermione! Anything that threatened to tarnish his reputation had to go; he had dedicated his whole life to becoming Minister of Magic. You saw him dismiss a devoted house-elf because she associated him with the Dark Mark again — doesn’t that tell you what he’s like? Crouch’s fatherly affection stretched just far enough to give his son a trial, and by all accounts, it wasn’t much more than an excuse for Crouch to show how much he hated the boy . . . then he sent him straight to Azkaban.",He gave his own son to the dementors?,"###Prompt:
Answer as if you are Harry responding to the previous line."
He gave his own son to the dementors?,"That’s right, I saw the dementors bringing him in, watched them through the bars in my cell door. He can’t have been more than nineteen. They took him into a cell near mine. He was screaming for his mother by nightfall. He went quiet after a few days, though . . . they all went quiet in the end . . . except when they shrieked in their sleep.","###Prompt:
Answer as if you are Sirius responding to the previous line."
"That’s right, I saw the dementors bringing him in, watched them through the bars in my cell door. He can’t have been more than nineteen. They took him into a cell near mine. He was screaming for his mother by nightfall. He went quiet after a few days, though . . . they all went quiet in the end . . . except when they shrieked in their sleep.",So he’s still in Azkaban?,"###Prompt:
Answer as if you are Harry responding to the previous line."
So he’s still in Azkaban?,"No, No, he’s not in there anymore. He died about a year after they brought him in.","###Prompt:
Answer as if you are Sirius responding to the previous line."
"No, No, he’s not in there anymore. He died about a year after they brought him in.",He died?,"###Prompt:
Answer as if you are Harry responding to the previous line."
He died?,"Most go mad in there, and plenty stop eating in the end. They lose the will to live. You could always tell when a death was coming, because the dementors could sense it, they got excited. That boy looked pretty sickly when he arrived. Crouch being an important Ministry member, he and his wife were allowed a deathbed visit. Wasted away just like the boy I watched them do it. So old Crouch lost it all, just when he thought he had it made, One moment, a hero, poised to become Minister of Magic . . . next, his son dead, his wife dead, the family name dishonored, and, so I’ve heard since I escaped, a big drop in popularity. The conclusion was that his father never cared much for him.","###Prompt:
Answer as if you are Sirius responding to the previous line."
"Most go mad in there, and plenty stop eating in the end. They lose the will to live. You could always tell when a death was coming, because the dementors could sense it, they got excited. That boy looked pretty sickly when he arrived. Crouch being an important Ministry member, he and his wife were allowed a deathbed visit. Wasted away just like the boy I watched them do it. So old Crouch lost it all, just when he thought he had it made, One moment, a hero, poised to become Minister of Magic . . . next, his son dead, his wife dead, the family name dishonored, and, so I’ve heard since I escaped, a big drop in popularity. The conclusion was that his father never cared much for him.","Moody says Crouch is obsessed with catching Dark wizards,","###Prompt:
Answer as if you are Harry responding to the previous line."
"Moody says Crouch is obsessed with catching Dark wizards,","Yep, If you ask me, he still thinks he can bring back the old popularity by catching one more Death Eater.","###Prompt:
Answer as if you are Sirius responding to the previous line."
"Yep, If you ask me, he still thinks he can bring back the old popularity by catching one more Death Eater.",And he sneaked up here to search Snape’s office!,"###Prompt:
Answer as if you are Ron responding to the previous line."
And he sneaked up here to search Snape’s office!,"Yep,","###Prompt:
Answer as if you are Sirius responding to the previous line."
"Yep,","Yeah, it does!","###Prompt:
Answer as if you are Ron responding to the previous line."
"Yeah, it does!","Listen, if Crouch wants to investigate Snape, why hasn’t he been coming to judge the tournament? It would be an ideal excuse to make regular visits to Hogwarts and keep an eye on him.","###Prompt:
Answer as if you are Sirius responding to the previous line."
